"","game_date_x","game_pk","velocity","spin_rate","release_extension","api_break_z_with_gravity","pitcher_run_exp","woba","xwoba","launch_speed","hardhit_percent","barrels_per_pa_percent","home_team","away_team","home_runs","away_runs","park_factor"
"53","2024-03-30",746087,90,2221,6.16,2.1999,-4.254,0.405,0.308,89.9,35.2941176470588,4.16666666666667,"Miami Marlins","Pittsburgh Pirates",3,9,113
"54","2024-03-30",746087,91.4,2481,6.24,2.02118,3.217,0.176,0.267,91.1,50,11.4285714285714,"Miami Marlins","Pittsburgh Pirates",3,9,113
"55","2024-03-30",745684,88.4,2206,6.36,2.32665,-6.425,0.42,0.345,86.5,33.3333333333333,4.08163265306122,"Oakland Athletics","Cleveland Guardians",3,12,100
"56","2024-03-30",745684,88.4,2059,6.84,2.20793,1.04,0.281,0.31,92.2,44.4444444444444,2.5,"Oakland Athletics","Cleveland Guardians",3,12,100
"57","2024-03-30",747221,88.2,2189,6.62,2.15152,-3.213,0.399,0.39,89.7,38.4615384615385,7.5,"Arizona Diamondbacks","Colorado Rockies",4,9,104
"58","2024-03-30",747221,87.7,2183,6.41,2.51224,-3.306,0.399,0.366,92,46.1538461538462,7.31707317073171,"Arizona Diamondbacks","Colorado Rockies",4,9,104
"59","2024-03-30",746736,90.6,2396,6.57,2.13776,-2.961,0.39,0.311,86.9,39.1304347826087,6.81818181818182,"Cincinnati Reds","Washington Nationals",6,7,107
"60","2024-03-30",746736,89.5,2091,6.64,2.2408,-3.105,0.363,0.32,92.1,56,2.77777777777778,"Cincinnati Reds","Washington Nationals",6,7,107
"61","2024-03-30",746410,89.8,2394,6.61,2.17446,-4.481,0.369,0.291,89,50,2.63157894736842,"Houston Astros","New York Yankees",3,5,102
"62","2024-03-30",746410,88.9,2308,5.73,2.63305,2.999,0.183,0.273,88.7,20.8333333333333,0,"Houston Astros","New York Yankees",3,5,102
"63","2024-03-30",746818,87.4,2171,6.4,2.42328,-2.213,0.376,0.397,93.3,54.8387096774194,9.52380952380952,"Chicago White Sox","Detroit Tigers",6,7,97
"64","2024-03-30",746818,87.9,2439,6.48,2.37737,-2.82,0.381,0.39,90.6,36.8421052631579,8.88888888888889,"Chicago White Sox","Detroit Tigers",6,7,97
"65","2024-03-30",747063,88.9,2190,6.13,2.33976,-4.585,0.454,0.386,94.9,54.5454545454545,9.75609756097561,"Baltimore Orioles","Los Angeles Angels",13,4,98
"66","2024-03-30",747063,89.1,2331,6.77,2.48643,0.531,0.284,0.327,94.5,56.5217391304348,5.4054054054054,"Baltimore Orioles","Los Angeles Angels",13,4,98
"67","2024-03-30",745599,88.9,2347,6.9,2.40298,-7.404,0.536,0.359,89.7,43.2432432432432,2.22222222222222,"Philadelphia Phillies","Atlanta Braves",4,12,101
"68","2024-03-30",745599,87.8,2303,6.34,2.42971,-0.234,0.325,0.351,85,21.4285714285714,2.7027027027027,"Philadelphia Phillies","Atlanta Braves",4,12,101
"69","2024-03-30",745436,89.2,2452,6.27,2.43207,-1.058,0.327,0.316,92.6,51.8518518518518,10,"San Diego Padres","San Francisco Giants",6,9,99
"70","2024-03-30",745436,89.8,2136,6.37,2.46031,0.083,0.326,0.312,89.3,41.6666666666667,5,"San Diego Padres","San Francisco Giants",6,9,99
"71","2024-03-30",745119,90.4,2219,6.63,2.0035,-1.841,0.354,0.346,86.2,37.037037037037,5.4054054054054,"Tampa Bay Rays","Toronto Blue Jays",5,1,100
"72","2024-03-30",745119,88.6,2146,6.47,2.09655,2.505,0.216,0.239,83.4,14.2857142857143,0,"Tampa Bay Rays","Toronto Blue Jays",5,1,100
"73","2024-03-30",745850,91.3,2224,6.8,2.10245,-1.997,0.343,0.3,89.4,40.625,4.44444444444444,"New York Mets","Milwaukee Brewers",6,7,98
"74","2024-03-30",745850,90,2252,6.9,2.42568,-1.753,0.395,0.401,91.4,43.75,9.75609756097561,"New York Mets","Milwaukee Brewers",6,7,98
"75","2024-03-30",745037,89,2221,6.19,2.30389,-5.398,0.5,0.45,91,42.4242424242424,13.953488372093,"Texas Rangers","Chicago Cubs",11,2,93
"76","2024-03-30",745037,87.4,2092,6.87,2.09605,2.75,0.224,0.302,86.9,38.0952380952381,6.45161290322581,"Texas Rangers","Chicago Cubs",11,2,93
"77","2024-03-30",745278,86.4,2303,6.21,2.57828,3.212,0.18,0.247,84,39.1304347826087,2.7027027027027,"Seattle Mariners","Boston Red Sox",4,3,89
"78","2024-03-30",745278,88.9,2071,7.21,2.35163,3.424,0.206,0.218,91.4,38.0952380952381,0,"Seattle Mariners","Boston Red Sox",4,3,89
"79","2024-03-30",746333,86.8,2482,6.31,2.78021,-0.06,0.296,0.335,88.4,40.7407407407407,5.12820512820513,"Kansas City Royals","Minnesota Twins",1,5,106
"80","2024-03-30",746333,90.3,2345,6.76,2.2144,3.489,0.198,0.207,91.5,45,6.06060606060606,"Kansas City Royals","Minnesota Twins",1,5,106
"81","2024-03-31",746090,88,2207,6.69,2.41455,-1.044,0.342,0.269,79.2,17.8571428571429,2.08333333333333,"Miami Marlins","Pittsburgh Pirates",7,9,113
"82","2024-03-31",746090,89.3,2133,7.12,2.09583,0.721,0.312,0.347,88.6,42.3076923076923,9.75609756097561,"Miami Marlins","Pittsburgh Pirates",7,9,113
"83","2024-03-31",745035,91.4,2295,6.56,1.93234,-2.277,0.39,0.381,88.5,45.4545454545455,6.25,"Texas Rangers","Chicago Cubs",5,9,93
"84","2024-03-31",745035,88.7,2069,6.38,2.15302,1.197,0.283,0.288,89.4,45.8333333333333,4.8780487804878,"Texas Rangers","Chicago Cubs",5,9,93
"85","2024-03-31",745115,88.1,2253,6.49,2.05509,-2.538,0.387,0.39,85.4,22.2222222222222,9.09090909090909,"Tampa Bay Rays","Toronto Blue Jays",2,9,100
"86","2024-03-31",745115,90.6,2219,6.54,1.92364,-0.234,0.208,0.346,89.2,44,5.88235294117647,"Tampa Bay Rays","Toronto Blue Jays",2,9,100
"87","2024-03-31",746815,88.7,2207,6.64,2.25846,1.032,0.311,0.316,86.6,40.9090909090909,5.12820512820513,"Chicago White Sox","Detroit Tigers",2,3,97
"88","2024-03-31",746815,87.7,2272,6.62,2.50033,1.803,0.258,0.271,87.2,40,6.06060606060606,"Chicago White Sox","Detroit Tigers",2,3,97
"89","2024-03-31",746413,88.5,2436,6.26,2.23284,0.947,0.281,0.257,86.9,28,0,"Houston Astros","New York Yankees",3,4,102
"90","2024-03-31",746413,91.6,2602,6.2,2.31767,-2.282,0.356,0.383,90.2,37.9310344827586,5.12820512820513,"Houston Astros","New York Yankees",3,4,102
"91","2024-03-31",745438,87.5,2274,6.23,2.78444,-6.308,0.487,0.345,91,48.4848484848485,9.09090909090909,"San Diego Padres","San Francisco Giants",13,4,99
"92","2024-03-31",745438,88.3,2298,6.19,2.41061,0.224,0.305,0.378,91.3,45.4545454545455,5,"San Diego Padres","San Francisco Giants",13,4,99
"93","2024-03-31",746739,87.8,2328,5.98,2.227,-1.033,0.371,0.358,90.6,46.4285714285714,7.31707317073171,"Cincinnati Reds","Washington Nationals",6,5,107
"94","2024-03-31",746739,90,2191,6.56,2.28776,-5.692,0.476,0.456,90.9,48.2758620689655,5.12820512820513,"Cincinnati Reds","Washington Nationals",6,5,107
